,SalePrice,YearBuilt,YrSold,MonthSold,Size(sqf),Floor,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_manager,N_elevators,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(Park),N_SchoolNearBy(Elementary),N_SchoolNearBy(Middle),N_SchoolNearBy(High),N_SchoolNearBy(University),N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total),c_corridor,c_mixed,c_terraced,c_central_heating,c_individual_heating,c_management_in_trust,c_self_management,c_Bangoge,c_Banwoldang,c_Chil-sung-market,c_Daegu,c_Kyungbuk_uni_hospital,c_Myung-duk,c_Sin-nam,c_no_subway_nearby
28,167964,2006,2007,9,903,10,123.0,181.0,1,4,3.0,3.0,11.0,3.0,1,1.0,1.0,2.0,0.0,4.0,3.0,3.0,1.0,4,8.0,11.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
29,198230,2007,2007,9,868,13,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
30,74336,1997,2007,10,644,15,82.0,56.0,1,1,1.0,2.0,4.0,7.0,1,2.0,1.0,1.0,1.0,4.0,0.0,0.0,3.0,5,13.0,7.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
31,46902,1985,2007,10,587,5,80.0,76.0,2,3,1.0,2.0,2.0,5.0,1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,3,12.0,4.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
32,61946,1985,2007,10,676,7,80.0,76.0,2,3,1.0,2.0,2.0,5.0,1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,3,12.0,4.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
33,292035,2006,2007,10,2056,2,249.0,536.0,2,4,6.0,5.0,11.0,1.0,1,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,5,3.0,7.0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
34,221238,1993,2007,10,1761,15,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
35,38495,1992,2007,10,355,13,200.0,0.0,1,2,3.0,5.0,10.0,7.0,1,1.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3,16.0,17.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
36,60619,1992,2007,10,576,2,200.0,0.0,1,2,3.0,5.0,10.0,7.0,1,1.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3,16.0,17.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
37,138053,1993,2007,10,914,9,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
38,39823,1992,2007,10,355,5,200.0,0.0,1,2,3.0,5.0,10.0,7.0,1,1.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3,16.0,17.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
39,36283,1992,2007,10,355,1,200.0,0.0,1,2,3.0,5.0,10.0,7.0,1,1.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3,16.0,17.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
40,92920,1993,2007,10,644,18,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
41,176991,1993,2007,10,1451,17,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
42,134513,1993,2007,10,914,16,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
43,77876,1992,2007,10,644,7,142.0,79.0,1,1,3.0,4.0,8.0,5.0,1,1.0,1.0,1.0,0.0,3.0,3.0,4.0,4.0,3,9.0,14.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
44,85840,1993,2007,10,644,17,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
45,141592,1992,2007,10,1448,11,142.0,79.0,1,1,3.0,4.0,8.0,5.0,1,1.0,1.0,1.0,0.0,3.0,3.0,4.0,4.0,3,9.0,14.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
46,98230,1993,2007,10,644,12,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
47,35398,1992,2007,10,355,8,200.0,0.0,1,2,3.0,5.0,10.0,7.0,1,1.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3,16.0,17.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
48,159292,1993,2007,10,1288,15,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
49,95575,1993,2007,10,644,14,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
50,147787,2005,2007,10,743,8,67.0,798.0,2,3,8.0,6.0,0.0,5.0,2,0.0,1.0,5.0,0.0,3.0,4.0,4.0,4.0,7,13.0,15.0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
51,340707,2007,2007,10,1387,42,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
52,197345,2007,2007,10,868,7,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
53,181415,2007,2007,10,868,7,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
54,346017,2007,2007,10,1387,28,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
55,55752,1985,2007,11,587,9,80.0,76.0,2,3,1.0,2.0,2.0,5.0,1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,3,12.0,4.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
56,347787,2007,2007,11,1334,10,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
57,347787,2007,2007,11,1334,17,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
58,383185,2007,2007,11,1444,16,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
59,462831,2007,2007,11,1690,22,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
60,407079,2007,2007,11,1629,4,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
61,360176,2007,2007,11,1483,4,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
62,315929,2007,2007,11,1334,3,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
63,289380,2007,2007,11,1273,3,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
64,348672,2007,2007,11,1483,3,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
65,465486,2007,2007,11,1690,25,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
66,393805,2007,2007,11,1629,3,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
67,408849,2007,2007,11,1690,3,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
68,348672,2007,2007,11,1483,3,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
69,371681,2007,2007,11,1483,9,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
70,326548,2007,2007,11,1334,4,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
71,348672,2007,2007,11,1483,4,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
72,371681,2007,2007,11,1483,6,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
73,348672,2007,2007,11,1483,5,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
74,371681,2007,2007,11,1483,8,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
75,337168,2007,2007,11,1483,3,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
76,360176,2007,2007,11,1483,4,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
77,360176,2007,2007,11,1483,6,7.0,605.0,2,4,2.0,5.0,5.0,4.0,1,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5,9.0,5.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
78,95132,1986,2007,11,910,15,100.0,18.0,2,3,1.0,1.0,2.0,5.0,1,2.0,1.0,1.0,1.0,6.0,2.0,3.0,2.0,3,11.0,13.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
79,110619,1993,2007,11,914,1,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
80,163716,2005,2007,11,914,8,67.0,798.0,2,3,8.0,6.0,0.0,5.0,2,0.0,1.0,5.0,0.0,3.0,4.0,4.0,4.0,7,13.0,15.0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
81,232212,2007,2007,11,1103,24,554.0,524.0,2,4,3.0,5.0,10.0,2.0,2,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,4,9.0,8.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
82,86725,1993,2007,11,644,15,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
83,172566,1993,2007,11,1761,4,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
84,194690,1993,2007,11,2337,18,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
85,36283,1992,2007,11,355,4,200.0,0.0,1,2,3.0,5.0,10.0,7.0,1,1.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3,16.0,17.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
86,60176,1992,2007,11,576,14,200.0,0.0,1,2,3.0,5.0,10.0,7.0,1,1.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3,16.0,17.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
87,88495,1993,2007,11,644,19,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
88,61946,1992,2007,11,576,8,200.0,0.0,1,2,3.0,5.0,10.0,7.0,1,1.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3,16.0,17.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
89,81858,1992,2007,11,644,16,142.0,79.0,1,1,3.0,4.0,8.0,5.0,1,1.0,1.0,1.0,0.0,3.0,3.0,4.0,4.0,3,9.0,14.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
90,60176,1992,2007,11,576,11,200.0,0.0,1,2,3.0,5.0,10.0,7.0,1,1.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3,16.0,17.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
91,191150,2007,2007,11,868,8,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
92,408849,2007,2007,11,1643,4,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
93,162831,1986,2007,11,1131,5,713.0,0.0,2,2,7.0,8.0,27.0,5.0,1,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,4,9.0,6.0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
94,203539,2007,2007,11,868,21,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
95,94690,1986,2007,12,910,16,100.0,18.0,2,3,1.0,1.0,2.0,5.0,1,2.0,1.0,1.0,1.0,6.0,2.0,3.0,2.0,3,11.0,13.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
96,242920,2006,2007,12,1437,4,249.0,536.0,2,4,6.0,5.0,11.0,1.0,1,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,5,3.0,7.0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
97,307964,2006,2007,12,1743,15,249.0,536.0,2,4,6.0,5.0,11.0,1.0,1,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,5,3.0,7.0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
98,287486,2007,2007,12,1366,19,554.0,524.0,2,4,3.0,5.0,10.0,2.0,2,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,4,9.0,8.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
99,285840,2007,2007,12,1366,20,554.0,524.0,2,4,3.0,5.0,10.0,2.0,2,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,4,9.0,8.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
100,132743,1993,2007,12,914,16,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
101,176991,2007,2007,12,914,30,554.0,524.0,2,4,3.0,5.0,10.0,2.0,2,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,4,9.0,8.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
102,323982,2007,2007,12,1448,30,554.0,524.0,2,4,3.0,5.0,10.0,2.0,2,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,4,9.0,8.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
103,92035,1993,2007,12,644,15,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
104,115044,1993,2007,12,914,9,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
105,137168,1993,2007,12,914,21,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
106,265486,2007,2007,12,1394,24,554.0,524.0,2,4,3.0,5.0,10.0,2.0,2,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,4,9.0,8.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
107,97345,1993,2007,12,644,17,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
108,199469,2007,2007,12,1103,17,554.0,524.0,2,4,3.0,5.0,10.0,2.0,2,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,4,9.0,8.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
